h_w1,h_w2,h_w3,h_v1,h_v2,h_v3,g_w1,g_w2,g_w3,g_v1,g_v2,g_v3
-0.16571426391601562,-0.49131718277931213,0.909818172454834,0.011187572032213211,-0.20175670087337494,-0.24660144746303558,-0.16571418941020966,-0.49131742119789124,0.9098179936408997,0.011187616735696793,-0.20175662636756897,-0.24660171568393707
-0.6337330341339111,-0.8031323552131653,0.22357065975666046,-0.06623661518096924,-0.18025809526443481,-0.01808464340865612,-0.6337329745292664,-0.8031323552131653,0.22357061505317688,-0.06623660773038864,-0.180258110165596,-0.018084637820720673
-0.31266966462135315,-0.9109641313552856,0.1078554093837738,-0.07037361711263657,-0.10488639771938324,-0.12188875675201416,-0.32820236682891846,-0.9884713888168335,0.10876728594303131,-0.07873379439115524,-0.10651665180921555,-0.12678182125091553
0.733988881111145,-0.031240295618772507,-0.7462621927261353,-0.30577754974365234,0.11170604079961777,-0.08984469622373581,0.7339901924133301,-0.03124142996966839,-0.7462608814239502,-0.3057771325111389,0.1117059662938118,-0.08984550833702087
-0.8112183809280396,0.11929897218942642,-0.6513947248458862,-0.18830735981464386,-0.13623757660388947,0.025496773421764374,-0.8112183809280396,0.11929897964000702,-0.6513948440551758,-0.18830735981464386,-0.13623760640621185,0.025496765971183777
-0.8391255736351013,-0.6263744831085205,-0.012072199955582619,-0.13964518904685974,-0.37421879172325134,-0.1833944320678711,-0.8391256928443909,-0.6263744831085205,-0.012072218582034111,-0.13964518904685974,-0.3742188513278961,-0.1833944022655487
-0.8017751574516296,0.08300420641899109,-0.6684972643852234,-0.2413071244955063,-0.14281673729419708,0.1638563573360443,-0.8017765283584595,0.08300257474184036,-0.6684966087341309,-0.24130716919898987,-0.14281649887561798,0.1638556718826294
-0.9016714096069336,0.43945690989494324,-0.04584966599941254,-0.04546919837594032,-0.26483362913131714,0.25286194682121277,-0.8918190598487854,0.5488909482955933,0.0006327189039438963,-0.04267559200525284,-0.25818967819213867,0.212253600358963
-0.3269626796245575,-0.6942569017410278,0.7125431299209595,0.21377506852149963,-0.21378366649150848,-0.03438480943441391,-0.32696518301963806,-0.6942639350891113,0.7125405073165894,0.21376794576644897,-0.21378478407859802,-0.03438464552164078
0.276366263628006,0.3626449704170227,0.7341822385787964,-0.042824432253837585,-0.24908585846424103,-0.2899121940135956,0.4427794814109802,0.742664098739624,0.5907783508300781,-0.15567710995674133,-0.21394065022468567,-0.30483633279800415
-0.8486590385437012,-0.5698524713516235,-0.22730685770511627,-0.06066899001598358,-0.11099453270435333,-0.05601731687784195,-0.848659336566925,-0.569852352142334,-0.22730672359466553,-0.06066906079649925,-0.11099463701248169,-0.05601736530661583
-0.9362772703170776,-0.2944750189781189,-0.36509257555007935,-0.10726248472929001,-0.37164559960365295,0.033637940883636475,-0.9362772703170776,-0.29447412490844727,-0.3650924265384674,-0.10726240277290344,-0.3716455101966858,0.03363806754350662
-0.6938915252685547,0.6883246898651123,0.36886823177337646,-0.23016415536403656,-0.2567301392555237,0.18731281161308289,-0.6896205544471741,0.6967344880104065,0.36824890971183777,-0.23207591474056244,-0.25606682896614075,0.18365994095802307
-0.43720102310180664,-0.3890813887119293,-0.8683857321739197,-0.3437177538871765,-0.08956439793109894,-0.022479645907878876,-0.43720102310180664,-0.3890813887119293,-0.8683856725692749,-0.3437177836894989,-0.08956439048051834,-0.022479666396975517
0.7356204390525818,0.07867889851331711,0.7411446571350098,0.1350690722465515,-0.051914796233177185,-0.3332027494907379,0.7356201410293579,0.07867887616157532,0.7411446571350098,0.13506904244422913,-0.051914893090724945,-0.33320286870002747
0.6957403421401978,0.7219545245170593,-0.2678859829902649,-0.37621626257896423,0.12432703375816345,0.035227447748184204,0.6975733041763306,0.7313376069068909,-0.27415257692337036,-0.37810027599334717,0.12560442090034485,0.03770654648542404
0.5822822451591492,-0.6523118615150452,0.5762351751327515,0.14562422037124634,-0.0806666761636734,-0.17338496446609497,0.5822837352752686,-0.652315616607666,0.5762403011322021,0.14562396705150604,-0.08066721260547638,-0.173387810587883
0.21918301284313202,0.33621537685394287,-0.4440654516220093,-0.10340720415115356,-0.06629034131765366,-0.04607781022787094,0.48028871417045593,-0.9291155338287354,-0.05186460539698601,0.0010921359062194824,-0.06464292109012604,-0.11701372265815735
0.8169742822647095,0.3488748073577881,-0.20444020628929138,-0.06517036259174347,0.033990077674388885,-0.22742123901844025,0.8211817741394043,0.5591015219688416,-0.3311929702758789,-0.1565464287996292,0.03755665570497513,-0.2226772904396057
-0.13743828237056732,-0.9212754964828491,-0.47852322459220886,-0.008989989757537842,-0.24780535697937012,-0.388102263212204,-0.13743804395198822,-0.921275794506073,-0.47852322459220886,-0.008989796042442322,-0.24780535697937012,-0.38810235261917114
